"web_name","id","ques","web"
"ESPN","ESPN--0","Look up the current standings for the NBA Eastern Conference on ESPN.","https://www.espn.com/"
"ESPN","ESPN--1","Check the latest articles on ESPN for updates on any trades that occurred in the NBA within the past 2 days.","https://www.espn.com/"
"ESPN","ESPN--2","Show the scores and main highlight of the Milwaukee Bucks game that took place within the last 2 days on ESPN.","https://www.espn.com/"
"ESPN","ESPN--3","Retrieve the final score from the most recent NBA game broadcast on ESPN, including the playing teams' names and the date of the match.","https://www.espn.com/"
"ESPN","ESPN--4","Check ESPN for the final scores of NBA games that were played yesterday.","https://www.espn.com/"
"ESPN","ESPN--5","Identify the top scorer in the NBA from the latest completed game and note down the points scored, the team they play for, and their position on the team.","https://www.espn.com/"
"ESPN","ESPN--6","Find the result of the latest basketball game between the Los Angeles Lakers and the Boston Celtics, including the final score and top scorer from the match.","https://www.espn.com/"
"ESPN","ESPN--7","Retrieve the final score and a brief summary of the latest NBA game played by the Los Angeles Lakers as reported on ESPN.","https://www.espn.com/"
"ESPN","ESPN--8","Find information on ESPN about the top three scoring leaders in the NBA as of the last day of the regular season, and note which teams they play for.","https://www.espn.com/"
"ESPN","ESPN--9","Search on ESPN for how many teams have Los Angeles in their name and how many of them are NBA.","https://www.espn.com/"
"ESPN","ESPN--10","Check ESPN for the score and a brief recap of the latest college football championship game.","https://www.espn.com/"
"ESPN","ESPN--11","How many NBA teams are there and list all the teams with 'New' in their name.","https://www.espn.com/"
"ESPN","ESPN--12","The first three Top Headlines in the current ESPN home page correspond to which sports leagues?","https://www.espn.com/"
"ESPN","ESPN--13","Identify today's top headline in the Basketball section of ESPN, and summarize the main points of that article.","https://www.espn.com/"
"ESPN","ESPN--14","Find the latest news about NBA trades or player movements on ESPN and report the most recent trade deal OR player acquisition.","https://www.espn.com/"
"ESPN","ESPN--15","Check the scores of the NBA games played on December 25, 2023.","https://www.espn.com/"
"ESPN","ESPN--16","Check the schedule for the NBA game on December 25, 2023, and provide the teams that are playing and their current standings in their respective conferences.","https://www.espn.com/"
"ESPN","ESPN--17","Check out the NBA Basketball Power Index 2023-24 to see which teams are in first place and which are in last place.","https://www.espn.com/"
"ESPN","ESPN--18","How many sports leagues can you choose from on the ESPN home page?","https://www.espn.com/"
"ESPN","ESPN--19","Who has the highest salary in Boston Celtics Roster 2023-24?","https://www.espn.com/"
"ESPN","ESPN--20","Look up the current leaders in rebounds and assists in the NBA Western Conference on ESPN.","https://www.espn.com/"
"ESPN","ESPN--21","Show the scores and main highlight of the Denver Nuggets game that occurred within the last 3 days on ESPN.","https://www.espn.com/"
"ESPN","ESPN--22","Find the latest Team transactions in the NBA within the past week.","https://www.espn.com/"
"ESPN","ESPN--23","Find the result of the latest basketball game between the Miami Heat and the New York Knicks, including the final score and top rebounder from the match.","https://www.espn.com/"
"ESPN","ESPN--24","Find the final score from the most recent NFL game broadcast on ESPN, including the teams' names and the date of the match.","https://www.espn.com/"
"ESPN","ESPN--25","Identify the player with the most assists in the latest NBA game and show me the assists, the team they play for, and their position.","https://www.espn.com/"
"ESPN","ESPN--26","Find information on ESPN NBA schedule. Tell me yesterday's matchups in which the loser high was higher than the winner high.","https://www.espn.com/"
"ESPN","ESPN--27","Search on ESPN for how many teams have 'Golden' in their name and how many of them are in the NHL.","https://www.espn.com/"
"ESPN","ESPN--28","How many MLB teams are there and list all the teams with 'City' in their name.","https://www.espn.com/"
"ESPN","ESPN--29","Identify today's top headline in the Soccer section of ESPN, and summarize the main points of that article.","https://www.espn.com/"
"ESPN","ESPN--30","Check out the NHL Standings 2023-24 on ESPN to see which teams are at the top and which are at the bottom in Eastern and Western Conference. What about the situation in Division.","https://www.espn.com/"
"ESPN","ESPN--31","Who has the heaviest weight among infielders in the New York Yankees Roster 2023-24?","https://www.espn.com/"
"ESPN","ESPN--32","Review yesterday's NHL game results on ESPN, focusing on teams' performance.","https://www.espn.com/"
"ESPN","ESPN--33","Locate the latest ESPN articles discussing potential MVP candidates in the NFL for 2023 season.","https://www.espn.com/"
"ESPN","ESPN--34","Visit ESPN to view the Philadelphia 76ers' latest injuries.","https://www.espn.com/"
"ESPN","ESPN--35","Browse ESPN to find out when the next game of the Los Angeles Lakers will start. Then navigate to the ticket purchasing website from ESPN, what is the cheapest ticket available.","https://www.espn.com/"
"ESPN","ESPN--36","Search for Lionel Messi's last 5 games, which teams has he played for, and what are the results?","https://www.espn.com/"
"ESPN","ESPN--37","Check out LeBron James' Stats to see how many games he has played in his career so far.","https://www.espn.com/"
"ESPN","ESPN--38","Check Los Angeles Lakers Stats 2023-24, calculate Anthony Davis' games played (GP) percentage, tell me if there are other players with the same games played percentage as Anthony Davis.","https://www.espn.com/"
"ESPN","ESPN--39","Check the New York Jets Depth Chart in the NFL section of ESPN and identify the players listed as injured in the 2ND position.","https://www.espn.com/"
"ESPN","ESPN--40","Browse the ESPN+ page from ESPN for a brief summary of what ESPN+ Tools is used for.","https://www.espn.com/"
"ESPN","ESPN--41","Find out which four teams the NFC North contains in the NFL on ESPN.","https://www.espn.com/"
"ESPN","ESPN--42","Check out NCAAM standings on ESPN, what are the teams with equal wins and losses in the America East Conference currently?","https://www.espn.com/"
"ESPN","ESPN--43","Check out NCAAW recruiting on ESPN, what colleges are the top three players from?","https://www.espn.com/"
